order_item_id,order_id,product_id,quantity,unit_price
1,1,15,1,96.05
2,1,8,3,154.92
3,1,71,3,15.95
4,1,65,1,20.3
5,2,75,2,322.09
6,2,63,1,29.97
7,2,12,2,101.68
8,2,66,1,22.73
9,3,93,2,69.04
10,3,3,1,182.97
11,3,51,3,159.04
12,4,8,2,154.92
13,4,9,2,171.72
14,4,61,1,68.77
15,4,5,1,185.65
16,5,58,3,154.19
17,5,49,3,71.13
18,5,11,3,138.26
19,6,68,1,144.5
20,6,17,1,236.22
21,6,94,1,307.3
22,7,32,2,165.41
23,7,59,1,180.4
24,8,54,1,159.11
25,8,79,1,56.89
26,8,99,1,133.18
27,8,3,1,182.97
28,9,95,2,268.26
29,9,6,2,124.45
30,10,38,2,266.5
31,10,30,3,134.43
32,10,94,3,307.3
33,10,74,3,71.19
34,11,53,2,175.18
35,11,39,1,260.69
36,12,72,2,60.92
37,12,64,3,158.51
38,12,7,3,28.37
39,13,49,3,71.13
40,13,24,2,321.13
41,13,97,1,81.19
42,14,72,2,60.92
43,14,53,3,175.18
44,15,58,1,154.19
45,15,48,3,52.59
46,16,6,3,124.45
47,16,10,3,123.45
48,16,25,3,251.77
49,16,98,3,244.62
50,17,28,3,74.43
51,17,25,1,251.77
52,18,51,3,159.04
53,18,31,2,188.46
54,19,47,2,66.09
55,19,66,1,22.73
56,19,64,3,158.51
57,20,6,3,124.45
58,20,73,1,122.42
59,20,29,1,233.66
60,21,26,1,106.19
61,21,43,2,51.14
62,22,33,3,82.09
63,22,98,3,244.62
64,22,63,3,29.97
65,23,70,1,143.89
66,23,63,3,29.97
67,23,24,1,321.13
68,23,83,1,231.05
69,24,9,1,171.72
70,24,91,1,50.95
71,25,62,1,139.59
72,25,85,3,146.03
73,25,63,3,29.97
74,25,3,2,182.97
75,26,65,3,20.3
76,26,90,2,69.6
77,27,68,2,144.5
78,27,33,1,82.09
79,27,46,2,111.19
80,27,35,2,211.0
81,28,84,1,285.29
82,28,98,1,244.62
83,29,22,3,22.94
84,29,11,2,138.26
85,29,64,3,158.51
86,29,56,1,186.01
87,30,61,3,68.77
88,30,35,2,211.0
89,30,6,3,124.45
90,30,10,3,123.45
91,31,76,3,140.49
92,31,19,2,269.03
93,32,87,2,357.99
94,32,70,3,143.89
95,32,43,1,51.14
96,33,56,1,186.01
97,33,30,2,134.43
98,34,4,2,60.04
99,34,82,2,143.82
100,34,35,1,211.0
101,35,49,2,71.13
102,35,11,1,138.26
103,35,99,3,133.18
104,35,80,1,225.8
105,36,50,1,106.95
106,36,41,1,140.04
107,36,47,2,66.09
108,36,14,2,175.22
109,37,72,1,60.92
110,37,66,1,22.73
111,37,53,1,175.18
112,38,2,2,138.82
113,38,38,1,266.5
114,38,53,3,175.18
115,39,49,2,71.13
116,39,22,2,22.94
117,39,18,2,276.51
118,39,35,1,211.0
119,40,47,1,66.09
120,40,33,3,82.09
121,41,1,3,301.0
122,41,51,2,159.04
123,41,43,2,51.14
124,42,18,3,276.51
125,42,39,1,260.69
126,42,42,2,217.81
127,42,78,2,182.22
128,43,74,2,71.19
129,43,32,2,165.41
130,43,42,2,217.81
131,44,88,3,234.17
132,44,99,1,133.18
133,45,9,1,171.72
134,45,53,3,175.18
135,45,87,2,357.99
136,45,64,1,158.51
137,46,77,2,185.78
138,46,62,3,139.59
139,46,75,3,322.09
140,47,77,1,185.78
141,47,82,3,143.82
142,47,11,3,138.26
143,47,14,2,175.22
144,48,52,1,320.05
145,48,97,1,81.19
146,48,43,1,51.14
147,48,56,2,186.01
148,49,58,2,154.19
149,49,48,2,52.59
150,50,62,2,139.59
151,50,14,2,175.22
152,51,59,2,180.4
153,51,27,2,11.49
154,51,67,2,37.7
155,52,91,1,50.95
156,52,15,2,96.05
157,53,67,3,37.7
158,53,23,1,179.79
159,54,24,2,321.13
160,54,82,1,143.82
161,54,85,3,146.03
162,54,56,3,186.01
163,55,36,3,198.2
164,55,97,1,81.19
165,56,59,2,180.4
166,56,15,3,96.05
167,57,76,2,140.49
168,57,15,2,96.05
169,57,45,3,129.2
170,58,11,1,138.26
171,58,87,1,357.99
172,58,18,2,276.51
173,58,41,1,140.04
174,59,74,2,71.19
175,59,50,1,106.95
176,60,72,2,60.92
177,60,22,2,22.94
178,61,2,1,138.82
179,61,63,2,29.97
180,61,18,3,276.51
181,62,63,3,29.97
182,62,22,1,22.94
183,62,11,1,138.26
184,63,73,2,122.42
185,63,96,3,278.9
186,63,99,3,133.18
187,64,70,3,143.89
188,64,97,2,81.19
189,64,6,3,124.45
190,65,5,2,185.65
191,65,58,1,154.19
192,65,34,2,110.11
193,66,45,2,129.2
194,66,91,1,50.95
195,66,79,3,56.89
196,66,81,1,128.22
197,67,77,2,185.78
198,67,69,3,250.61
199,67,22,2,22.94
200,68,13,1,123.86
201,68,18,2,276.51
202,68,97,3,81.19
203,68,53,1,175.18
204,69,98,2,244.62
205,69,87,2,357.99
206,70,82,1,143.82
207,70,99,2,133.18
208,71,42,3,217.81
209,71,75,1,322.09
210,71,1,3,301.0
211,72,51,2,159.04
212,72,28,2,74.43
213,72,55,2,68.81
214,72,64,2,158.51
215,73,98,3,244.62
216,73,7,2,28.37
217,73,6,1,124.45
218,73,13,1,123.86
219,74,17,2,236.22
220,74,84,1,285.29
221,74,39,3,260.69
222,74,21,2,77.8
223,75,81,3,128.22
224,75,40,1,136.02
225,75,93,2,69.04
226,76,76,3,140.49
227,76,29,3,233.66
228,77,89,1,265.58
229,77,17,1,236.22
230,77,62,2,139.59
231,78,18,1,276.51
232,78,49,3,71.13
233,78,100,3,273.17
234,79,45,3,129.2
235,79,93,3,69.04
236,79,28,1,74.43
237,80,18,1,276.51
238,80,97,3,81.19
239,81,36,1,198.2
240,81,83,1,231.05
241,82,4,3,60.04
242,82,85,3,146.03
243,82,39,3,260.69
244,82,27,1,11.49
245,83,64,1,158.51
246,83,50,1,106.95
247,84,41,3,140.04
248,84,17,2,236.22
249,84,50,2,106.95
250,85,3,1,182.97
251,85,76,1,140.49
252,86,37,2,125.73
253,86,81,2,128.22
254,86,92,3,105.69
255,86,65,2,20.3
256,87,11,1,138.26
257,87,66,3,22.73
258,87,27,2,11.49
259,88,40,2,136.02
260,88,90,3,69.6
261,89,78,3,182.22
262,89,8,3,154.92
263,89,40,3,136.02
264,89,86,1,123.65
265,90,67,1,37.7
266,90,93,2,69.04
267,90,34,1,110.11
268,91,43,2,51.14
269,91,55,3,68.81
270,92,66,2,22.73
271,92,47,3,66.09
272,92,8,1,154.92
