order_id,customer_id,order_date,status,shipping_cost,discount,total_amount
1,21,2025-07-24 10:04:37,delivered,10.62,1.95,637.63
2,43,2025-05-08 18:16:40,shipped,8.52,17.01,891.75
3,132,2025-06-11 16:02:15,delivered,5.45,11.56,792.06
4,56,2025-08-13 22:15:06,delivered,8.38,17.51,898.57
5,197,2025-09-07 11:26:46,processing,10.16,10.51,1090.39
6,35,2025-09-12 03:22:45,shipped,5.94,24.82,669.14
7,77,2025-06-30 03:30:32,delivered,9.35,13.3,507.27
8,71,2025-03-15 12:45:54,processing,10.79,2.82,540.12
9,153,2025-01-14 08:57:12,delivered,10.37,21.81,773.98
10,60,2025-07-29 22:55:33,delivered,11.9,1.41,2082.25
11,83,2025-04-03 08:06:20,delivered,6.14,16.51,600.68
12,143,2025-08-19 02:44:14,shipped,12.28,15.65,679.11
13,98,2025-11-02 12:13:46,delivered,10.56,10.21,937.19
14,58,2025-04-28 03:03:59,shipped,6.14,11.58,641.94
15,136,2025-02-22 09:50:06,delivered,7.03,8.26,310.73
16,186,2025-11-19 10:37:36,delivered,7.14,16.84,2223.17
17,56,2025-07-06 12:16:40,delivered,12.25,7.58,479.73
18,192,2025-10-21 06:52:19,delivered,6.93,15.11,845.86
19,199,2025-04-21 06:18:10,delivered,9.26,8.98,630.72
20,121,2025-10-24 02:53:47,shipped,12.3,9.27,732.46
21,67,2025-08-04 05:14:15,processing,9.62,10.44,207.65
22,146,2025-11-20 23:30:12,delivered,9.4,23.59,1055.85
23,126,2025-06-29 07:14:15,delivered,11.35,4.23,793.1
24,172,2025-01-20 04:11:12,shipped,8.29,21.06,209.9
25,56,2025-07-16 17:46:20,delivered,5.47,15.94,1023.06
26,4,2025-01-07 19:53:56,delivered,7.19,24.44,182.85
27,46,2025-02-11 21:27:55,processing,9.19,6.02,1018.64
28,118,2025-08-08 18:12:07,delivered,10.57,7.5,532.98
29,104,2025-05-28 14:59:48,delivered,8.8,15.92,999.76
30,136,2025-12-24 07:07:10,delivered,6.68,21.7,1356.99
31,169,2025-01-14 02:40:00,delivered,11.79,0.39,970.93
32,20,2025-04-27 13:27:46,delivered,6.91,20.87,1184.83
33,177,2025-10-09 13:41:37,delivered,10.95,8.65,457.17
34,155,2025-10-26 23:39:07,delivered,9.75,24.22,604.25
35,92,2025-08-04 02:41:06,processing,8.44,16.99,897.31
36,22,2025-04-15 09:40:49,delivered,10.68,15.85,724.44
37,93,2025-10-24 00:15:49,delivered,6.05,4.68,260.2
38,91,2025-08-04 13:42:10,delivered,9.77,8.11,1071.34
39,144,2025-12-18 21:08:45,processing,6.93,13.03,946.06
40,17,2025-03-07 06:29:09,delivered,8.36,12.11,308.61
41,161,2025-07-12 21:12:49,delivered,6.55,2.67,1327.24
42,113,2025-05-11 07:58:03,delivered,11.58,16.28,1885.58
43,46,2025-06-04 23:51:42,processing,7.32,17.37,898.77
44,94,2025-02-14 13:30:41,processing,6.59,24.93,817.35
45,187,2025-06-29 14:37:51,processing,6.67,19.94,1558.48
46,65,2025-09-14 03:11:01,delivered,8.38,9.42,1755.56
47,178,2025-06-12 18:50:42,delivered,11.32,8.99,1384.79
48,43,2025-09-09 14:28:32,delivered,9.5,16.13,817.77
49,57,2025-07-18 15:50:51,shipped,9.45,17.19,405.82
50,198,2025-09-22 05:54:58,delivered,8.99,8.62,629.99
51,22,2025-02-15 09:50:40,shipped,10.83,8.71,461.3
52,25,2025-06-20 12:00:09,shipped,8.61,1.68,249.98
53,166,2025-02-12 19:20:02,delivered,6.3,24.6,274.59
54,85,2025-08-06 18:10:13,delivered,8.69,19.94,1770.95
55,51,2025-06-24 22:20:34,delivered,8.1,17.62,666.27
56,148,2025-02-09 20:23:52,shipped,9.29,9.14,649.1
57,126,2025-07-25 06:39:37,processing,7.5,9.72,858.46
58,45,2025-11-13 08:35:24,delivered,11.39,22.97,1177.73
59,47,2025-05-26 07:27:53,delivered,9.08,10.46,247.95
60,125,2025-09-05 03:18:16,delivered,12.34,23.27,156.79
61,36,2025-03-14 23:53:06,delivered,8.6,1.34,1035.55
62,130,2025-09-11 23:03:04,delivered,10.47,10.39,251.19
63,75,2025-01-14 00:44:25,delivered,9.29,4.21,1486.16
64,29,2025-08-11 18:04:54,delivered,11.19,20.58,958.01
65,56,2025-06-15 10:43:44,delivered,11.63,18.78,738.56
66,31,2025-10-29 13:24:39,shipped,6.67,18.44,596.47
67,53,2025-11-13 06:38:52,delivered,5.46,8.77,1165.96
68,75,2025-08-11 18:16:57,delivered,11.85,24.64,1082.84
69,180,2025-12-03 16:26:22,delivered,6.16,8.05,1203.33
70,37,2025-08-13 13:59:45,delivered,10.01,9.38,410.81
71,132,2025-10-19 12:39:53,delivered,12.48,9.23,1881.77
72,118,2025-09-04 21:08:33,delivered,7.86,1.58,927.86
73,141,2025-08-13 18:43:55,delivered,11.81,19.71,1031.01
74,41,2025-06-21 17:04:59,delivered,12.92,10.69,1697.63
75,65,2025-02-02 08:12:54,delivered,12.22,4.14,666.84
