supplier_id,supplier_name,country
1,Vertex Goods 001,USA
2,Orbit Market 002,Canada
3,Blue Trade 003,Australia
4,Urban Logistics 004,Australia
5,Bright Distribution 005,USA
6,Summit Imports 006,USA
7,Nova Goods 007,Canada
8,Blue Distribution 008,France
9,Nova Distribution 009,Canada
10,Orbit Logistics 010,Australia
11,Core Imports 011,Canada
12,Peak Partners 012,UK
13,Apex Supply 013,Canada
14,Orbit Imports 014,UK
15,Global Trade 015,Canada
16,Apex Works 016,USA
17,Urban Imports 017,USA
18,Metro Works 018,France
19,Global Supply 019,Australia
20,Peak Distribution 020,USA
21,Bright Imports 021,USA
22,Core Market 022,Australia
23,Summit Works 023,France
24,Blue Wholesale 024,USA
25,Nova Logistics 025,Canada
26,Apex Market 026,USA
27,Nimbus Source 027,USA
28,Pioneer Market 028,Germany
29,Vertex Works 029,Canada
30,Metro Works 030,Canada
31,Vertex Market 031,Australia
32,Bright Logistics 032,Australia
33,Urban Partners 033,Australia
34,Prime Distribution 034,Australia
35,Blue Trade 035,Germany
36,Pioneer Market 036,Australia
37,Orbit Distribution 037,Canada
38,Vertex Works 038,USA
39,Blue Supply 039,UK
40,Pioneer Market 040,USA
41,Blue Partners 041,Australia
42,Metro Source 042,Australia
43,Peak Imports 043,Australia
44,Peak Trade 044,UK
45,Prime Source 045,Australia
46,Core Distribution 046,UK
47,Orbit Partners 047,Germany
48,Bright Partners 048,Germany
49,Metro Source 049,Canada
50,Core Holdings 050,USA
51,Apex Supply 051,USA
52,Prime Logistics 052,Canada
53,Apex Logistics 053,Germany
54,Summit Goods 054,Germany
55,Pioneer Partners 055,Germany
56,Core Market 056,France
57,Nimbus Supply 057,Australia
58,Orbit Goods 058,Australia
59,Bright Distribution 059,UK
60,Apex Logistics 060,UK
61,Urban Market 061,Germany
62,Prime Holdings 062,USA
63,Orbit Wholesale 063,UK
64,Core Trade 064,France
65,Bright Goods 065,Australia
66,Global Logistics 066,France
67,Summit Source 067,Canada
68,Metro Trade 068,France
69,Apex Distribution 069,USA
70,Summit Works 070,Germany
71,Nova Goods 071,UK
72,Bright Market 072,Canada
73,Nova Source 073,France
74,Urban Goods 074,Australia
75,Peak Goods 075,France
76,Apex Trade 076,Canada
77,Vertex Holdings 077,France
78,Prime Market 078,France
79,Nimbus Partners 079,Germany
80,Blue Distribution 080,Australia
81,Orbit Source 081,Australia
82,Global Imports 082,Australia
83,Vertex Works 083,Germany
84,Bright Distribution 084,Germany
85,Urban Source 085,Canada
86,Urban Works 086,USA
87,Summit Distribution 087,Canada
88,Summit Source 088,USA
89,Urban Wholesale 089,Australia
90,Nova Source 090,USA
91,Bright Supply 091,UK
92,Urban Distribution 092,Canada
93,Global Logistics 093,Germany
94,Blue Distribution 094,Canada
95,Orbit Partners 095,France
96,Peak Source 096,Germany
97,Apex Imports 097,Canada
98,Urban Goods 098,Australia
99,Pioneer Works 099,Germany
100,Pioneer Holdings 100,Australia
101,Nova Logistics 101,Australia
102,Vertex Goods 102,USA
103,Pioneer Wholesale 103,UK
104,Apex Goods 104,Canada
105,Blue Source 105,France
106,Peak Trade 106,Germany
107,Prime Market 107,Germany
108,Blue Goods 108,Germany
109,Apex Distribution 109,USA
110,Nova Logistics 110,France
111,Nimbus Supply 111,USA
112,Bright Source 112,Canada
113,Pioneer Holdings 113,Germany
114,Blue Imports 114,USA
115,Prime Imports 115,USA
116,Pioneer Market 116,Germany
117,Global Imports 117,Australia
118,Orbit Distribution 118,Australia
119,Orbit Holdings 119,Canada
120,Blue Market 120,Canada
121,Nova Partners 121,Australia
122,Core Supply 122,Australia
123,Metro Supply 123,USA
124,Summit Holdings 124,France
125,Bright Distribution 125,Canada
126,Nova Distribution 126,USA
127,Nimbus Trade 127,USA
128,Summit Goods 128,Australia
129,Nimbus Source 129,Germany
130,Urban Partners 130,Canada
131,Summit Partners 131,USA
132,Summit Goods 132,Germany
133,Vertex Partners 133,France
134,Core Works 134,UK
135,Blue Logistics 135,Australia
136,Metro Source 136,UK
137,Pioneer Trade 137,Australia
138,Vertex Market 138,Germany
139,Metro Goods 139,USA
140,Peak Partners 140,France
141,Urban Goods 141,France
142,Blue Distribution 142,UK
143,Prime Works 143,USA
144,Bright Source 144,UK
145,Global Trade 145,Germany
146,Nimbus Distribution 146,Australia
147,Global Partners 147,Australia
148,Core Supply 148,Australia
149,Nimbus Distribution 149,UK
150,Bright Logistics 150,USA
151,Bright Trade 151,UK
152,Urban Goods 152,Australia
153,Core Trade 153,UK
154,Global Partners 154,Canada
155,Orbit Works 155,Canada
156,Vertex Logistics 156,UK
157,Core Holdings 157,UK
158,Bright Supply 158,USA
159,Vertex Imports 159,UK
160,Nova Supply 160,UK
161,Apex Trade 161,Australia
162,Global Trade 162,Australia
163,Peak Distribution 163,Australia
164,Pioneer Distribution 164,USA
165,Urban Goods 165,Australia
166,Bright Trade 166,France
167,Nova Works 167,France
168,Core Trade 168,Germany
169,Prime Supply 169,UK
170,Metro Supply 170,UK
171,Blue Logistics 171,Canada
172,Vertex Goods 172,UK
173,Apex Distribution 173,Germany
174,Summit Wholesale 174,Canada
175,Bright Source 175,Canada
176,Apex Trade 176,Germany
177,Nova Trade 177,Australia
178,Bright Works 178,Germany
179,Apex Logistics 179,Australia
180,Apex Source 180,UK
181,Prime Wholesale 181,USA
182,Pioneer Supply 182,Germany
183,Blue Source 183,Germany
184,Metro Market 184,Canada
185,Blue Supply 185,Australia
186,Blue Imports 186,UK
187,Global Goods 187,UK
188,Metro Logistics 188,France
189,Pioneer Logistics 189,France
190,Metro Supply 190,USA
191,Bright Market 191,Canada
192,Summit Market 192,USA
193,Urban Partners 193,Germany
194,Metro Wholesale 194,UK
195,Pioneer Partners 195,France
196,Urban Imports 196,France
197,Blue Market 197,USA
198,Orbit Imports 198,USA
199,Core Distribution 199,Australia
200,Orbit Wholesale 200,Australia
